,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
148,NULL,NULL,NULL,Unique Discount,Google Pixel 6a,0,Google,W19,8th May,Vodafone,Vodafone
149,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 6a,471,Google,W19,8th May,Vodafone,Vodafone
150,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone SE3,0,Apple,W19,8th May,Vodafone,Vodafone
151,NULL,NULL,NULL,Trade in bump up,Apple iPhone SE3,60,Apple,W19,8th May,Vodafone,Vodafone
152,NULL,NULL,NULL,Bundle ,Apple iPhone SE3,0,Apple,W19,8th May,Vodafone,Vodafone
153,NULL,NULL,NULL,Free Subscription,Apple iPhone SE3,0,Apple,W19,8th May,Vodafone,Vodafone
154,NULL,NULL,NULL,Unique Discount,Apple iPhone SE3,0,Apple,W19,8th May,Vodafone,Vodafone
155,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone SE3,471,Apple,W19,8th May,Vodafone,Vodafone
156,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy A53,0,Samsung,W19,8th May,Vodafone,Vodafone
157,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy A53,0,Samsung,W19,8th May,Vodafone,Vodafone
158,NULL,NULL,NULL,Bundle ,Samsung Galaxy A53,0,Samsung,W19,8th May,Vodafone,Vodafone
159,NULL,NULL,NULL,Free Subscription,Samsung Galaxy A53,0,Samsung,W19,8th May,Vodafone,Vodafone
160,NULL,NULL,NULL,Unique Discount,Samsung Galaxy A53,0,Samsung,W19,8th May,Vodafone,Vodafone
161,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy A53,471,Samsung,W19,8th May,Vodafone,Vodafone
162,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy A54,0,Samsung,W19,8th May,Vodafone,Vodafone
163,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy A54,120,Samsung,W19,8th May,Vodafone,Vodafone
164,NULL,NULL,NULL,Bundle ,Samsung Galaxy A54,0,Samsung,W19,8th May,Vodafone,Vodafone
165,NULL,NULL,NULL,Free Subscription,Samsung Galaxy A54,0,Samsung,W19,8th May,Vodafone,Vodafone
166,NULL,NULL,NULL,Unique Discount,Samsung Galaxy A54,0,Samsung,W19,8th May,Vodafone,Vodafone
167,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy A54,471,Samsung,W19,8th May,Vodafone,Vodafone
168,NULL,NULL,NULL,Trade In Bump Up,Google Pixel 7 Pro,0,Google,W19,8th May,Deutsch,Deutsch
169,NULL,NULL,NULL,Cashback,Google Pixel 7 Pro,0,Google,W19,8th May,Deutsch,Deutsch
170,NULL,NULL,NULL,Bundle,Google Pixel 7 Pro,0,Google,W19,8th May,Deutsch,Deutsch
171,NULL,NULL,NULL,Voucher,Google Pixel 7 Pro,0,Google,W19,8th May,Deutsch,Deutsch
172,NULL,NULL,NULL,Free Subscription,Google Pixel 7 Pro,27.85,Google,W19,8th May,Deutsch,Deutsch
173,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 7 Pro,555,Google,W19,8th May,Deutsch,Deutsch
174,NULL,NULL,NULL,Trade In Bump Up,Google Pixel 6 Pro,0,Google,W19,8th May,Deutsch,Deutsch
175,NULL,NULL,NULL,Cashback,Google Pixel 6 Pro,0,Google,W19,8th May,Deutsch,Deutsch
176,NULL,NULL,NULL,Bundle,Google Pixel 6 Pro,0,Google,W19,8th May,Deutsch,Deutsch
177,NULL,NULL,NULL,Voucher,Google Pixel 6 Pro,0,Google,W19,8th May,Deutsch,Deutsch
178,NULL,NULL,NULL,Free Subscription,Google Pixel 6 Pro,27.85,Google,W19,8th May,Deutsch,Deutsch
179,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 6 Pro,555,Google,W19,8th May,Deutsch,Deutsch
180,NULL,NULL,NULL,Trade In Bump Up,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
181,NULL,NULL,NULL,Cashback,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
182,NULL,NULL,NULL,Bundle,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
183,NULL,NULL,NULL,Voucher,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
184,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Pro Max,100,Apple,W19,8th May,Deutsch,Deutsch
185,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Pro Max,555,Apple,W19,8th May,Deutsch,Deutsch
186,NULL,NULL,NULL,Trade In Bump Up,Apple iPhone 14 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
187,NULL,NULL,NULL,Cashback,Apple iPhone 14 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
188,NULL,NULL,NULL,Bundle,Apple iPhone 14 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
189,NULL,NULL,NULL,Voucher,Apple iPhone 14 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
190,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Pro,100,Apple,W19,8th May,Deutsch,Deutsch
191,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Pro,555,Apple,W19,8th May,Deutsch,Deutsch
192,NULL,NULL,NULL,Trade In Bump Up,Apple iPhone 14 Plus,0,Apple,W19,8th May,Deutsch,Deutsch
193,NULL,NULL,NULL,Cashback,Apple iPhone 14 Plus,0,Apple,W19,8th May,Deutsch,Deutsch
194,NULL,NULL,NULL,Bundle,Apple iPhone 14 Plus,0,Apple,W19,8th May,Deutsch,Deutsch
195,NULL,NULL,NULL,Voucher,Apple iPhone 14 Plus,0,Apple,W19,8th May,Deutsch,Deutsch
196,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Plus,100,Apple,W19,8th May,Deutsch,Deutsch
197,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Plus,555,Apple,W19,8th May,Deutsch,Deutsch
198,NULL,NULL,NULL,Trade In Bump Up,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
199,NULL,NULL,NULL,Cashback,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
200,NULL,NULL,NULL,Bundle,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
201,NULL,NULL,NULL,Voucher,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
202,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Deutsch,Deutsch
203,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13 Pro Max,555,Apple,W19,8th May,Deutsch,Deutsch
204,NULL,NULL,NULL,Trade In Bump Up,Apple iPhone 13 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
205,NULL,NULL,NULL,Cashback,Apple iPhone 13 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
206,NULL,NULL,NULL,Bundle,Apple iPhone 13 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
207,NULL,NULL,NULL,Voucher,Apple iPhone 13 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
208,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 Pro,0,Apple,W19,8th May,Deutsch,Deutsch
209,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13 Pro,555,Apple,W19,8th May,Deutsch,Deutsch
210,NULL,NULL,NULL,Trade In Bump Up,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Deutsch,Deutsch
211,NULL,NULL,NULL,Cashback,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Deutsch,Deutsch
212,NULL,NULL,NULL,Bundle,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Deutsch,Deutsch
213,NULL,NULL,NULL,Voucher,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Deutsch,Deutsch
214,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Deutsch,Deutsch
215,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy Z Fold3,555,Samsung,W19,8th May,Deutsch,Deutsch
216,NULL,NULL,NULL,Trade In Bump Up,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Deutsch,Deutsch
217,NULL,NULL,NULL,Cashback,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Deutsch,Deutsch
218,NULL,NULL,NULL,Bundle,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Deutsch,Deutsch
219,NULL,NULL,NULL,Voucher,Samsung Galaxy Z Fold4,150,Samsung,W19,8th May,Deutsch,Deutsch
220,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Deutsch,Deutsch
